apt_group,indicator_type,indicator
23,domain,shildon-cooper.info
23,domain,shop8d.net
23,domain,shortesly.website
23,domain,shortupload.com
23,domain,show-me.fun
23,domain,side-talk.com
23,domain,sites.google
23,domain,skelly-chester.icu
23,domain,smart-messenger.online
23,domain,snowshoewildernessclub.net
23,domain,so-chat.org
23,domain,social-store.online
23,domain,sophie-deverau.xyz
23,domain,sopotfile.website
23,domain,spartacuscrixus.club
23,domain,spgbotup.club
23,domain,sportliner.website
23,domain,stacks-zadar.website
23,domain,stand-by-97c5c.appspot.com
23,domain,stand-by-97c5c.firebaseio.com
23,domain,stand-by.site
23,domain,starslovecaster.live
23,domain,steve-harrington.com
23,domain,stevenfloyd.icu
23,domain,stevensmalley.pro
23,domain,stikerscloud.com
23,domain,sybil-parks.info
23,domain,tawjihi2018.site
23,domain,telegrom.org
23,domain,tellme.site
23,domain,thomas-stump.fun
23,domain,tim-jordan.info
23,domain,tommy-swope.site
23,domain,top4up.website
23,domain,touch.ps
23,domain,ts4shope.net
23,domain,tstapi.pal4u.net
23,domain,tyrion-lannister.info
23,domain,ubanks.icu
23,domain,unohcr.org
23,domain,upgradsource.com
23,domain,upload101.net
23,domain,upload202.com
23,domain,upload404.club
23,domain,upload909.net
23,domain,upload999.com
23,domain,upload999.info
23,domain,upload999.net
23,domain,upload999.org
23,domain,uri-ready.website
23,domain,url-redirect.website
23,domain,usastoreonts.com
23,domain,useraccount.website
23,domain,useraccountvalidation.com
23,domain,usr-accounts-validation.pw
23,domain,vedioplayers2020.000webhostapp.com
23,domain,vickeryduncan.site
23,domain,victor-stewart.info
23,domain,vista-chat.com
23,domain,voevanil.com
23,domain,wa-loading.com
23,domain,wab-wahtsapp.com
23,domain,wab-watzapp.com
23,domain,wab-whtsap.com
23,domain,wanda-bell.website
23,domain,wannameet.co
23,domain,wcup22qat.com
23,domain,web-wnatzapp.com
23,domain,web-wtsapp.com
23,domain,webhoptest.webhop.info
23,domain,websetting.me
23,domain,wendy-johnston.pw
23,domain,wes-gibbins.com
23,domain,whatsaapp.us
23,domain,whatsapps.cam
23,domain,whatsusers.fun
23,domain,whatzopp.com
23,domain,whispers-talk.com
23,domain,whispers-talk.site
23,domain,white-hony.online
23,domain,whowatchyou.com
23,domain,williedvazquez.club
23,domain,win-laive.com
23,domain,wine-talk.online
23,domain,winetalk-9ff2d.appspot.com
23,domain,winetalk-9ff2d.firebaseio.com
23,domain,winlife.host
23,domain,wislisapp.com
23,domain,wobomov.com
23,domain,world-cup-live-2018.stream
23,domain,yahaoa.com
23,domain,yasjobmootbenii.com
23,domain,yohoa-users.com
23,domain,young-spencer.com
23,domain,youngmija.club
23,domain,zachlieberman.club
23,domain,zee-player.com
23,domain,zee-player.website
23,file_path,/AhmedMajdalani.php
23,file_path,/Hamas.php
23,file_path,/MyGramIM.signed.apk
23,file_path,/SaudiRecognitionofIsrael.php
23,file_path,/enterprise/Senterprise.php
23,file_path,/enterprise/Wenterprise.php
23,file_path,/hamas_internal_elections.rar
23,ipv4,198.54.117.211:1883
23,ipv4,198.54.117.212:1883
23,ipv4,198.54.117.215:1883
23,ipv4,198.54.117.217:1883
23,ipv4,198.54.117.218:1883
23,ipv4,68.65.121.44:1883
23,ipv4,68.65.121.44:443
23,url,http://198.54.115.130
27,domain,24h.tinthethaoi.com
27,domain,265g.site
27,domain,36106g.com
27,domain,88tech.me
27,domain,activity.maacson.com
27,domain,adobesys.com
27,domain,aibeichen.cn
27,domain,amazonawsgarages.com
27,domain,analyaze.s3amazonbucket.com
